reference,collection_name,dataset_title,normal_cell_count,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url,tissue_ontology_term_id,assay_ontology_term_id,cell_type_ontology_term_id,disease_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,is_primary_data,donor_id_count,tissue_ontology_summary,assay_ontology_summary,cell_type_ontology_summary,disease_ontology_summary,sex_ontology_summary,development_stage_summary
unk,Single-cell transcriptomic atlas for adult human retina,Non-neuronal cells in human retina,,18011,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/ed419b4e-db9b-40f1-8593-68fdf8dfb076.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,ed419b4e-db9b-40f1-8593-68fdf8dfb076,c8da6eeb-84d7-4379-a332-1bf6107859d6,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/c8da6eeb-84d7-4379-a332-1bf6107859d6.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Retinal ganglion cells in human retina,,11617,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/aad97cb5-f375-45ef-ae9d-178e7f5d5180.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,aad97cb5-f375-45ef-ae9d-178e7f5d5180,9db639c3-5c9c-4b8f-b285-25ed5d335417,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/9db639c3-5c9c-4b8f-b285-25ed5d335417.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Bipolar cells in human retina,,53040,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/8f10185b-e0b3-46a5-8706-7f1799225d79.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,8f10185b-e0b3-46a5-8706-7f1799225d79,45e411d4-c103-4c28-84a9-cb5320f873ba,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/45e411d4-c103-4c28-84a9-cb5320f873ba.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Amacrine cells in human retina,,56507,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/359f7af4-87d4-4117-9d6c-ca4cfa1f3f0b.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,359f7af4-87d4-4117-9d6c-ca4cfa1f3f0b,e3c7aa91-5edd-416e-965e-17bef75462d4,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e3c7aa91-5edd-416e-965e-17bef75462d4.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Horizontal cells in human retina,,7348,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/11ef37ee-2173-458e-aab8-7fe35da8e47b.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,11ef37ee-2173-458e-aab8-7fe35da8e47b,5903aa1b-c323-4ae0-abfc-8100e2eba799,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5903aa1b-c323-4ae0-abfc-8100e2eba799.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,All major cell types in adult human retina,,244474,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/0129dbd9-a7d3-4f6b-96b9-1da155a93748.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,0129dbd9-a7d3-4f6b-96b9-1da155a93748,7f2413c4-38c2-4559-a959-e649e2118586,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/7f2413c4-38c2-4559-a959-e649e2118586.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Photoreceptor cells in human retina (rod cells downsampled),,21422,,,Liang,Cell Genomics,2023,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/00e5dedd-b9b7-43be-8c28-b0e5c6414a62.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,00e5dedd-b9b7-43be-8c28-b0e5c6414a62,3d0dcefd-cdf2-4b12-89df-c871e9a3c4b8,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/3d0dcefd-cdf2-4b12-89df-c871e9a3c4b8.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Bronchopulmonary Dysplasia,Bronchopulmonary dysplasia,,271381,,,,,,,https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,https://cellxgene.cziscience.com/e/d68a8b48-abf0-4bd5-8834-155d34ec448a.cxg/,middle lobe of right lung,bronchopulmonary dysplasia | normal,3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,c656236c-fc37-4470-aef1-799af222a821,d68a8b48-abf0-4bd5-8834-155d34ec448a,83bbeaaf-f5e0-42ac-be8a-dbc4e0c0d433,,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/83bbeaaf-f5e0-42ac-be8a-dbc4e0c0d433.h5ad,UBERON:0002174,,,MONDO:0019091 | PATO:0000461,,,,,,,,,,
unk,Multi-Region Brain Single-Cell Atlas of Parkinson's Disease and Control Samples,Single-Cell Atlas of Parkinson's Disease and Control: Complete RNA data,,4502568,,,Menon,bioRxiv,2026,10.64898/2026.03.05.709922,https://cellxgene.cziscience.com/collections/16876983-d454-43db-a8ec-77fafca9bf38,https://cellxgene.cziscience.com/e/e88a8e7c-0586-4690-8aa6-34efd7076f7a.cxg/,cerebellum | cingulate gyrus | middle temporal gyrus | putamen | substantia nigra,Parkinson disease | normal,16876983-d454-43db-a8ec-77fafca9bf38,ea4e5a38-8adb-4ca3-94e0-3cb07c661091,e88a8e7c-0586-4690-8aa6-34efd7076f7a,02e1d36f-3019-49c9-aa3d-3a7df7ae9fd8,TRUE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/02e1d36f-3019-49c9-aa3d-3a7df7ae9fd8.h5ad,UBERON:0002037 | UBERON:0002967 | UBERON:0002771 | UBERON:0001874 | UBERON:0002038,,,MONDO:0005180 | PATO:0000461,,,,,,,,,,
unk,Multi-Region Brain Single-Cell Atlas of Parkinson's Disease and Control Samples,Single-Cell Atlas of Parkinson's Disease and Control: Subsampled 4.3 million RNA data,,4300000,,,Menon,bioRxiv,2026,10.64898/2026.03.05.709922,https://cellxgene.cziscience.com/collections/16876983-d454-43db-a8ec-77fafca9bf38,https://cellxgene.cziscience.com/e/5fa72b3e-999e-4560-a105-391d109574da.cxg/,cerebellum | cingulate gyrus | middle temporal gyrus | putamen | substantia nigra,Parkinson disease | normal,16876983-d454-43db-a8ec-77fafca9bf38,ea4e5a38-8adb-4ca3-94e0-3cb07c661091,5fa72b3e-999e-4560-a105-391d109574da,5451683b-f184-4bd5-8fb1-401bf1a467c6,TRUE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5451683b-f184-4bd5-8fb1-401bf1a467c6.h5ad,UBERON:0002037 | UBERON:0002967 | UBERON:0002771 | UBERON:0001874 | UBERON:0002038,,,MONDO:0005180 | PATO:0000461,,,,,,,,,,
