collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,19985,,,Muto,Nat Commun,2021.0,,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,cortex of kidney,normal,9b02383a-9358-4f0f-9795-a891ec523bcc,d4932ca7-a406-48df-bbea-40d10559ccb9,9df60c57-fdf3-4e93-828e-fe9303f20438,ff2e21de-0848-4346-8f8b-4e1741ec4b39,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq,27034,,,Muto,Nat Commun,2021.0,,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,https://cellxgene.cziscience.com/e/13a027de-ea3e-432b-9a5e-6bc7048498fc.cxg/,cortex of kidney,normal,9b02383a-9358-4f0f-9795-a891ec523bcc,d4932ca7-a406-48df-bbea-40d10559ccb9,13a027de-ea3e-432b-9a5e-6bc7048498fc,43513175-baf7-4881-9564-c4daa2416026,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/43513175-baf7-4881-9564-c4daa2416026.h5ad
Single-cell transcriptomics reveals gene expression dynamics of human fetal kidney development,Cells of the human fetal kidney,17962,,,Hochane,PLoS Biol,2019.0,,https://cellxgene.cziscience.com/collections/981b0c87-76d0-4edf-b201-58c52b5cd2f0,https://cellxgene.cziscience.com/e/8dc29642-be06-46dc-a289-8075915745d4.cxg/,kidney,normal,981b0c87-76d0-4edf-b201-58c52b5cd2f0,a661f222-d3e7-48b9-b081-1090928415a6,8dc29642-be06-46dc-a289-8075915745d4,b0503d37-f734-4b5c-b3b0-35c877e0c636,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/b0503d37-f734-4b5c-b3b0-35c877e0c636.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets,Kidney,194504,,,Xu,Cell,2023.0,,https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,https://cellxgene.cziscience.com/e/f95d8919-1f2a-405f-8776-bfecc0ab0f3f.cxg/,cortex of kidney | kidney | renal medulla | renal papilla | renal pelvis,normal,854c0855-23ad-4362-8b77-6b1639e7a9fc,bf868bea-52be-443c-bbce-bb35249085b9,f95d8919-1f2a-405f-8776-bfecc0ab0f3f,26d15fe5-5e25-4649-bdf1-07814871ffd1,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/26d15fe5-5e25-4649-bdf1-07814871ffd1.h5ad
Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,39176,,,Wilson,Nat Commun,2022.0,,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,cortex of kidney,normal | type 2 diabetes mellitus,b3e2c6e3-9b05-4da9-8f42-da38a664b45b,554b5b3f-a7cb-4166-9dc0-d3ea2e317ec7,e067e5ca-e53e-485f-aa8e-efd5435229c8,46d8d92b-32e0-4ca5-9907-4dbf519c7fc3,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/46d8d92b-32e0-4ca5-9907-4dbf519c7fc3.h5ad
Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease,37747,,,Wilson,Nat Commun,2022.0,,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,https://cellxgene.cziscience.com/e/ad0bf220-dd49-4b71-bb5c-576fee675d2b.cxg/,cortex of kidney,normal | type 2 diabetes mellitus,b3e2c6e3-9b05-4da9-8f42-da38a664b45b,554b5b3f-a7cb-4166-9dc0-d3ea2e317ec7,ad0bf220-dd49-4b71-bb5c-576fee675d2b,fa0f9f5e-e7fb-42a4-a801-3410b0923ccc,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/fa0f9f5e-e7fb-42a4-a801-3410b0923ccc.h5ad
Mapping the developing human immune system across organs,Full dataset of single-cell RNA-seq profiles from 9 developmental tissues across gestation (4-17 pcw),908046,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/fd072bc3-2dfb-46f8-b4e3-467cb3223182.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,fd072bc3-2dfb-46f8-b4e3-467cb3223182,4eb0a1aa-216c-4f22-93ab-85e95ed70cbb,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/4eb0a1aa-216c-4f22-93ab-85e95ed70cbb.h5ad
Mapping the developing human immune system across organs,Stromal cells (all non-immune cells),318656,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/d0c12af4-c0e4-4c7b-873a-70752b449689.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,d0c12af4-c0e4-4c7b-873a-70752b449689,f8d58f15-cbb7-47e3-a531-0975dab5d683,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/f8d58f15-cbb7-47e3-a531-0975dab5d683.h5ad
Mapping the developing human immune system across organs,NK/T cells,172175,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/aa633105-e8e5-4dcc-b72d-6da6c191b3e9.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,aa633105-e8e5-4dcc-b72d-6da6c191b3e9,17a834aa-594c-41e1-bc8f-20ed161e4c9b,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/17a834aa-594c-41e1-bc8f-20ed161e4c9b.h5ad
Mapping the developing human immune system across organs,Megakaryocyte/erythroid cells,149107,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/804d9a85-665b-45c6-b204-13457fdcc7ac.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,804d9a85-665b-45c6-b204-13457fdcc7ac,90dafd1b-d134-40eb-a18a-752abd1c6849,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/90dafd1b-d134-40eb-a18a-752abd1c6849.h5ad
Mapping the developing human immune system across organs,HSC/progenitor cells,40420,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/6a30bf44-c490-41ac-965b-0bb58432b10a.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,6a30bf44-c490-41ac-965b-0bb58432b10a,9e4cfd3f-b199-4df3-b5e6-e7555df49be0,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/9e4cfd3f-b199-4df3-b5e6-e7555df49be0.h5ad
Mapping the developing human immune system across organs,HSC/immune cells (all hematopoietic-derived cells),589390,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/48101fa2-1a63-4514-b892-53ea1d3a8657.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,48101fa2-1a63-4514-b892-53ea1d3a8657,5046093f-06c5-4bc6-bbf6-050ce839b296,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/5046093f-06c5-4bc6-bbf6-050ce839b296.h5ad
Mapping the developing human immune system across organs,Lymphoid cells,239698,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/3affa268-8a74-460a-ac9b-a984c0832469.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,3affa268-8a74-460a-ac9b-a984c0832469,bc65cd6f-bb6d-49e6-864f-2c7f2044809e,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/bc65cd6f-bb6d-49e6-864f-2c7f2044809e.h5ad
Mapping the developing human immune system across organs,Myeloid cells,218758,,,Suo,Science,2022.0,,https://cellxgene.cziscience.com/collections/b1a879f6-5638-48d3-8f64-f6592c1b1561,https://cellxgene.cziscience.com/e/2aa1c93c-4ef3-4e9a-98e7-0bd37933953c.cxg/,bone marrow | gut wall | kidney | liver | mesenteric lymph node | skin of body | spleen | thymus | yolk sac,normal,b1a879f6-5638-48d3-8f64-f6592c1b1561,915b5425-ac92-470a-a975-d5e00d11ff7f,2aa1c93c-4ef3-4e9a-98e7-0bd37933953c,f049cd2f-1a02-4802-9f1b-9c91416b955f,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/f049cd2f-1a02-4802-9f1b-9c91416b955f.h5ad
Tabula Sapiens,Tabula Sapiens - Immune,592317,,,,Science,2022.0,,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/c5d88abe-f23a-45fa-a534-788985e93dad.cxg/,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,c5d88abe-f23a-45fa-a534-788985e93dad,e62b0182-368f-4875-8ac1-f49e3d5eda60,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/e62b0182-368f-4875-8ac1-f49e3d5eda60.h5ad
Tabula Sapiens,Tabula Sapiens - Epithelium,228032,,,,Science,2022.0,,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/97a17473-e2b1-4f31-a544-44a60773e2dd.cxg/,anterior part of tongue | anterior segment of eyeball | ascending colon | bladder organ | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | jejunum | kidney | lacrimal gland | large intestine | left ovary | liver | lung | mammary gland | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | stomach | stomach smooth muscle | sublingual gland | submandibular gland | testis | thymus | tongue | trachea | uterus | utricle of membranous labyrinth,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,97a17473-e2b1-4f31-a544-44a60773e2dd,d785671f-3157-40cf-a035-e9ba0052d3b3,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/d785671f-3157-40cf-a035-e9ba0052d3b3.h5ad
Tabula Sapiens,Tabula Sapiens - Endothelium,73195,,,,Science,2022.0,,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/5a11f879-d1ef-458a-910c-9b0bdfca5ebf.cxg/,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,95e4fc1d-c70a-46ea-b459-661c238ddc8e,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/95e4fc1d-c70a-46ea-b459-661c238ddc8e.h5ad
Tabula Sapiens,Tabula Sapiens - All Cells,1136218,,,,Science,2022.0,,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/53d208b0-2cfd-4366-9866-c3c6114081bc.cxg/,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,53d208b0-2cfd-4366-9866-c3c6114081bc,5a495302-b7cd-4bf9-853e-95627b00bb03,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/5a495302-b7cd-4bf9-853e-95627b00bb03.h5ad
Tabula Sapiens,Tabula Sapiens - Kidney,11376,,,,Science,2022.0,,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/2423ce2c-3149-4cca-a2ff-cf682ea29b5f.cxg/,cortex of kidney | kidney,normal,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,2423ce2c-3149-4cca-a2ff-cf682ea29b5f,65ca6e36-73b0-4c88-b0f3-7b23b48844ad,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/65ca6e36-73b0-4c88-b0f3-7b23b48844ad.h5ad
Healthy living donor kidney,Living donor kidney,27675,,,McEvoy,Nat Commun,2022.0,,https://cellxgene.cziscience.com/collections/dc3a5256-5c39-4a21-ac0c-4ede3e7b2323,https://cellxgene.cziscience.com/e/0bae7ebf-eb54-46a6-be9a-3461cecefa4c.cxg/,cortex of kidney,normal,dc3a5256-5c39-4a21-ac0c-4ede3e7b2323,00ad21fb-7a07-48c2-8471-c24620cdf230,0bae7ebf-eb54-46a6-be9a-3461cecefa4c,6b3b10eb-11e7-4589-af2e-591d7401cfaa,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/6b3b10eb-11e7-4589-af2e-591d7401cfaa.h5ad
