collection_name,dataset_title,total_cell_count,author_cell_type,embedding,first_author,journal,year,collection_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url
LungMAP — Human data from a broad age healthy donor group,Single-cell multiomic profiling of human lungs across age groups,46500,,,Wang,eLife,2020,https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837,lung,normal,625f6bf4-2f33-4942-962e-35243d284837,41222d84-f6cc-4705-be46-1e9aa5502063,3de0ad6d-4378-4f62-b37b-ec0b75a50d94,b1ba366b-d63b-4fdb-8bc6-c3c27dc3bd89,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/b1ba366b-d63b-4fdb-8bc6-c3c27dc3bd89.h5ad
The integrated Human Lung Cell Atlas,An integrated cell atlas of the human lung in health and disease (full),2282447,,,Sikkema,Nat Med,2023,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,lung | lung parenchyma | nose | respiratory airway,COVID-19 | chronic obstructive pulmonary disease | chronic rhinitis | cystic fibrosis | hypersensitivity pneumonitis | interstitial lung disease | lung adenocarcinoma | lung large cell carcinoma | lymphangioleiomyomatosis | non-specific interstitial pneumonia | normal | pleomorphic carcinoma | pneumonia | pulmonary fibrosis | pulmonary sarcoidosis | squamous cell lung carcinoma,6f6d381a-7701-4781-935c-db10d30de293,99df0d1e-e330-4204-92ef-c564b684930a,9f222629-9e39-47d0-b83f-e08d610c7479,dbb5ad81-1713-4aee-8257-396fbabe7c6e,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/dbb5ad81-1713-4aee-8257-396fbabe7c6e.h5ad
The integrated Human Lung Cell Atlas,An integrated cell atlas of the human lung in health and disease (core),584944,,,Sikkema,Nat Med,2023,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,lung parenchyma | nose | respiratory airway,normal,6f6d381a-7701-4781-935c-db10d30de293,99df0d1e-e330-4204-92ef-c564b684930a,066943a2-fdac-4b29-b348-40cede398e4e,4cb45d80-499a-48ae-a056-c71ac3552c94,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/4cb45d80-499a-48ae-a056-c71ac3552c94.h5ad
Charting human development using a multi-endodermal organ atlas and organoid models,Developing Human Atlas,155232,,,Yu,Cell,2021,https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,body of stomach | colon | duodenum | epithelium of trachea | esophagus | ileum | jejunum | liver | lung | pyloric antrum | small intestine | stomach,normal,dfc09a93-bce0-4c77-893d-e153d1b7f9fa,4d3be912-2900-4a1a-ab36-f35116617078,9968be68-ab65-4a38-9e1a-c9b6abece194,a0215936-cfde-4162-9b34-b3fbcbc7d9e3,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/a0215936-cfde-4162-9b34-b3fbcbc7d9e3.h5ad
Cell culture differentiation and proliferation conditions influence the in vitro regeneration of the human airway epithelium,Air-Liquid Interface cultures of human airway epithelium in 4 differentiation media - Redman et al.,10224,,,Redman,Am J Respir Cell Mol Biol,2024,https://cellxgene.cziscience.com/collections/73cf6939-3caa-4105-bc57-e073ee885a28,epithelial cell of lung,normal,73cf6939-3caa-4105-bc57-e073ee885a28,ef5c1741-b76b-4458-b624-b96cd3887917,c69fb6cd-fc4d-4216-85cb-8d80e7771786,fb491477-68cd-47cf-9163-ee1da2e4639f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/fb491477-68cd-47cf-9163-ee1da2e4639f.h5ad
SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells,Lung,39778,,,Lukassen,The EMBO Journal,2020,https://cellxgene.cziscience.com/collections/6ff3401b-d72c-4940-a00c-3f0792397082,lung,normal,6ff3401b-d72c-4940-a00c-3f0792397082,5e92724e-14ff-4fc6-8a63-7ba578c9d15d,2f132ec9-24b5-422f-9be0-ccef03b4fe28,667f3b2e-c7fd-49a6-a1a4-79999f1d46ad,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/667f3b2e-c7fd-49a6-a1a4-79999f1d46ad.h5ad
Azimuth meta-analysis of human scRNA-seq datasets,Human - Lung v2 (HLCA),584884,,,,,,https://cellxgene.cziscience.com/collections/2f75d249-1bec-459b-bf2b-b86221097ced,lung parenchyma | nose | respiratory airway,normal,2f75d249-1bec-459b-bf2b-b86221097ced,a29b844e-21e2-4aee-ad80-4fb538818de2,f72958f5-7f42-4ebb-98da-445b0c6de516,4b334171-7b7e-4911-8d33-37f2835f4385,,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/4b334171-7b7e-4911-8d33-37f2835f4385.h5ad
Human γδ T cells in diverse tissues exhibit site-specific maturation dynamics across the lifespan,scRNA-seq of adult gamma delta T cells,7417,,,Gray,Sci. Immunol.,2024,https://cellxgene.cziscience.com/collections/ec691f5f-0aac-433c-8f78-e7f4b85a05e0,jejunum | lung | mesenteric lymph node | spleen | thoracic lymph node,normal,ec691f5f-0aac-433c-8f78-e7f4b85a05e0,0d25e16c-0fdf-460e-9d29-2a9da7d59aea,5f4556b6-017e-49b3-b31c-c6e8e226c9fb,e1511f7d-7b21-48e9-89d1-6a84c9dacf7f,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e1511f7d-7b21-48e9-89d1-6a84c9dacf7f.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Immune cells,73047,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,f64e1be1-de15-4d27-8da4-82225cd4c035,7b48de1d-71f0-4867-8a68-320dda7922c8,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/7b48de1d-71f0-4867-8a68-320dda7922c8.h5ad
HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,Myeloid cells,14072,,,Chan,Cancer Cell,2021,https://cellxgene.cziscience.com/collections/62e8f058-9c37-48bc-9200-e767f318a8ec,adrenal gland | axilla | bone spine | brain | liver | lung | lymph node | pleural effusion,lung adenocarcinoma | normal | small cell lung carcinoma,62e8f058-9c37-48bc-9200-e767f318a8ec,d4161c8e-37bc-4db2-b206-e550734c4b9b,e9175006-8978-4417-939f-819855eab80e,ef1d3e7e-8bc2-4363-b902-006a4a6e543b,FALSE,,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/ef1d3e7e-8bc2-4363-b902-006a4a6e543b.h5ad
