reference,collection_name,dataset_title,normal_cell_count,total_cell_count,author_cell_type,embedding,first_author,journal,year,doi,collection_url,explorer_url,tissue,disease,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url,tissue_ontology_term_id,assay_ontology_term_id,cell_type_ontology_term_id,disease_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,is_primary_data,donor_id_count,tissue_ontology_summary,assay_ontology_summary,cell_type_ontology_summary,disease_ontology_summary,sex_ontology_summary,development_stage_summary
unk,Single-cell transcriptomic atlas for adult human retina,Non-neuronal cells in human retina,,18011,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/ed419b4e-db9b-40f1-8593-68fdf8dfb076.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,ed419b4e-db9b-40f1-8593-68fdf8dfb076,c8da6eeb-84d7-4379-a332-1bf6107859d6,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/c8da6eeb-84d7-4379-a332-1bf6107859d6.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Retinal ganglion cells in human retina,,11617,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/aad97cb5-f375-45ef-ae9d-178e7f5d5180.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,aad97cb5-f375-45ef-ae9d-178e7f5d5180,9db639c3-5c9c-4b8f-b285-25ed5d335417,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/9db639c3-5c9c-4b8f-b285-25ed5d335417.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Bipolar cells in human retina,,53040,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/8f10185b-e0b3-46a5-8706-7f1799225d79.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,8f10185b-e0b3-46a5-8706-7f1799225d79,45e411d4-c103-4c28-84a9-cb5320f873ba,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/45e411d4-c103-4c28-84a9-cb5320f873ba.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Amacrine cells in human retina,,56507,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/359f7af4-87d4-4117-9d6c-ca4cfa1f3f0b.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,359f7af4-87d4-4117-9d6c-ca4cfa1f3f0b,e3c7aa91-5edd-416e-965e-17bef75462d4,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/e3c7aa91-5edd-416e-965e-17bef75462d4.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Horizontal cells in human retina,,7348,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/11ef37ee-2173-458e-aab8-7fe35da8e47b.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,11ef37ee-2173-458e-aab8-7fe35da8e47b,5903aa1b-c323-4ae0-abfc-8100e2eba799,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/5903aa1b-c323-4ae0-abfc-8100e2eba799.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,All major cell types in adult human retina,,244474,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/0129dbd9-a7d3-4f6b-96b9-1da155a93748.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,0129dbd9-a7d3-4f6b-96b9-1da155a93748,7f2413c4-38c2-4559-a959-e649e2118586,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/7f2413c4-38c2-4559-a959-e649e2118586.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Single-cell transcriptomic atlas for adult human retina,Photoreceptor cells in human retina (rod cells downsampled),,21422,,,Liang,Cell Genomics,2023.0,10.1016/j.xgen.2023.100298,https://cellxgene.cziscience.com/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,https://cellxgene.cziscience.com/e/00e5dedd-b9b7-43be-8c28-b0e5c6414a62.cxg/,fovea centralis | macula lutea proper | peripheral region of retina,normal,af893e86-8e9f-41f1-a474-ef05359b1fb7,c1b538fd-0f01-41c8-a504-6f44626916c2,00e5dedd-b9b7-43be-8c28-b0e5c6414a62,3d0dcefd-cdf2-4b12-89df-c871e9a3c4b8,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/3d0dcefd-cdf2-4b12-89df-c871e9a3c4b8.h5ad,UBERON:0001786 | UBERON:0002822 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Human fetal retina atlas v1 - Unraveling the developmental heterogeneity within the human retina to reconstruct the continuity of retinal ganglion cell maturation and stage-specific intrinsic and extrinsic factors,Human Fetal Retina Atlas,,108838,,,Kriukov,Developmental Biology,2025.0,10.1016/j.ydbio.2025.08.025,https://cellxgene.cziscience.com/collections/c11009b8-b113-4a99-9890-78b2f9df9d79,https://cellxgene.cziscience.com/e/aecc2743-4ff2-4b55-ac8c-a1ff76fc4bb4.cxg/,central retina | peripheral region of retina | retina,normal,c11009b8-b113-4a99-9890-78b2f9df9d79,a4996baf-010b-4b4d-bde1-c04b0ed749a7,aecc2743-4ff2-4b55-ac8c-a1ff76fc4bb4,3fdf264b-40f6-4f5a-b433-bddba1bbebf4,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/3fdf264b-40f6-4f5a-b433-bddba1bbebf4.h5ad,UBERON:8000004 | UBERON:0013682 | UBERON:0000966,,,PATO:0000461,,,,,,,,,,
unk,Cell Atlas of The Human Fovea and Peripheral Retina,Retinal ganglion cells of the human fovea and peripheral retina,,11404,,,Yan,Sci Rep,2020.0,10.1038/s41598-020-66092-9,https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594,https://cellxgene.cziscience.com/e/d319af7f-be2e-441e-8caa-3b8a88480e89.cxg/,fovea centralis | peripheral region of retina,normal,1d1c7275-476a-49e2-9022-ad1b1c793594,f5b207b1-c397-474e-a152-dac848637920,d319af7f-be2e-441e-8caa-3b8a88480e89,9bfd4a8d-b880-4b6d-a82a-7f8858e4fb65,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/9bfd4a8d-b880-4b6d-a82a-7f8858e4fb65.h5ad,UBERON:0001786 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
unk,Cell Atlas of The Human Fovea and Peripheral Retina,Non-neuronal cells of the human fovea and peripheral retina,,22125,,,Yan,Sci Rep,2020.0,10.1038/s41598-020-66092-9,https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594,https://cellxgene.cziscience.com/e/bc7260e0-54cf-4b0b-823d-93f5b850f757.cxg/,fovea centralis | peripheral region of retina,normal,1d1c7275-476a-49e2-9022-ad1b1c793594,f5b207b1-c397-474e-a152-dac848637920,bc7260e0-54cf-4b0b-823d-93f5b850f757,0ad06af8-c388-4bc8-9dd4-171b30a3df81,False,,PUBLIC,Homo sapiens,True,euclidean,True,True,True,https://datasets.cellxgene.cziscience.com/0ad06af8-c388-4bc8-9dd4-171b30a3df81.h5ad,UBERON:0001786 | UBERON:0013682,,,PATO:0000461,,,,,,,,,,
